# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.131 us    |  rcu_idle_enter();
 1)               |              walk_component() {
 2)   6.332 us    |    }
 1)               |                lookup_fast() {
 0)   0.148 us    |  cpuidle_not_available();
 2) + 18.983 us   |  }
 1)   0.178 us    |                  __d_lookup_rcu();
 2)   0.051 us    |  tick_check_broadcast_expired();
 0)               |  default_idle_call() {
 0)               |    arch_cpu_idle() {
 2)   0.051 us    |  cpuidle_get_cpu_driver();
 1)   0.075 us    |                  __lookup_mnt();
 0)               |      default_idle() {
 2)   0.099 us    |  rcu_idle_enter();
 1) + 15.759 us   |                }
 1) + 23.533 us   |              }
 2)   0.114 us    |  cpuidle_not_available();
 1)               |              inode_permission() {
 2)               |  default_idle_call() {
 1)               |                __inode_permission() {
 2)               |    arch_cpu_idle() {
 1)   0.067 us    |                  generic_permission();
 2)               |      default_idle() {
 1)   0.071 us    |                  security_inode_permission();
 1) + 15.545 us   |                }
 1) + 23.186 us   |              }
 1) + 93.117 us   |            }
 1)               |            walk_component() {
 1)               |              lookup_fast() {
 1)   0.271 us    |                __d_lookup_rcu();
 1)   8.079 us    |              }
 1) + 15.815 us   |            }
 3)   0.102 us    |  rcu_idle_exit();
 1)   0.073 us    |            terminate_walk();
 3)   0.083 us    |  arch_cpu_idle_exit();
 1) ! 164.402 us  |          }
 1)   0.058 us    |          restore_nameidata();
 3)   0.099 us    |  tick_nohz_idle_exit();
 1)               |          putname() {
 3)   0.066 us    |  sched_ttwu_pending();
 1)   0.084 us    |            kmem_cache_free();
 3)               |  schedule_preempt_disabled() {
 1)   7.865 us    |          }
 3)               |    schedule() {
 1) ! 195.750 us  |        }
 3)   0.079 us    |      rcu_note_context_switch();
 1) ! 241.871 us  |      }
 1) ! 249.609 us  |    }
 3)   0.060 us    |      _raw_spin_lock();
 1) ! 257.390 us  |  }
 1)               |  SyS_newstat() {
 3)   0.117 us    |      pick_next_task_stop();
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 3)   0.098 us    |      pick_next_task_dl();
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 3)   0.069 us    |      pick_next_task_rt();
 1)   0.055 us    |            _cond_resched();
 3)               |      pick_next_task_fair() {
 1)   0.060 us    |            __memcg_kmem_get_cache();
 3)   0.063 us    |        put_prev_task_idle();
 1)   0.062 us    |            __memcg_kmem_put_cache();
 3)               |        pick_next_entity() {
 3)   0.063 us    |          clear_buddies();
 1) + 23.443 us   |          }
 3)   7.777 us    |        }
 1) + 31.150 us   |        }
 1)               |        filename_lookup() {
 3)   0.222 us    |        set_next_entity();
 1)               |          path_lookupat() {
 1)               |            path_init() {
 3) + 31.126 us   |      }
 1)   0.069 us    |              set_root();
 ------------------------------------------
 3)    <idle>-0    =>   rcu_sch-7   
 ------------------------------------------

 3)   0.422 us    |  finish_task_switch();
 1)   0.065 us    |              nd_jump_root();
 3)               |  del_timer_sync() {
 1) + 15.423 us   |            }
 3)               |    try_to_del_timer_sync() {
 1)               |            link_path_walk() {
 3)               |      lock_timer_base.isra.23() {
 1)               |              inode_permission() {
 3)   0.078 us    |        _raw_spin_lock_irqsave();
 1)               |                __inode_permission() {
 1)   0.061 us    |                  generic_permission();
 3)   7.896 us    |      }
 3)   0.054 us    |      detach_if_pending();
 1)   0.063 us    |                  security_inode_permission();
 3)   0.084 us    |      _raw_spin_unlock_irqrestore();
 1) + 15.539 us   |                }
 1) + 23.158 us   |              }
 3) + 31.081 us   |    }
 1)               |              walk_component() {
 3) + 38.841 us   |  }
 1)               |                lookup_fast() {
 3)               |  prepare_to_swait_event() {
 1)   0.151 us    |                  __d_lookup_rcu();
 3)               |    prepare_to_swait() {
 3)   0.072 us    |      _raw_spin_lock_irqsave();
 1)   0.129 us    |                  __lookup_mnt();
 3)   0.075 us    |      _raw_spin_unlock_irqrestore();
 1) + 15.723 us   |                }
 1) + 23.455 us   |              }
 3) + 15.372 us   |    }
 1)               |              inode_permission() {
 3) + 23.139 us   |  }
 1)               |                __inode_permission() {
 3)               |  finish_swait() {
 1)   0.068 us    |                  generic_permission();
 3)   0.060 us    |    _raw_spin_lock_irqsave();
 1)   0.059 us    |                  security_inode_permission();
 3)   0.082 us    |    _raw_spin_unlock_irqrestore();
 1) + 15.572 us   |                }
 3) + 15.653 us   |  }
 1) + 23.212 us   |              }
 3)               |  force_qs_rnp() {
 1) + 92.822 us   |            }
 3)   0.057 us    |    _cond_resched();
 1)               |            walk_component() {
 1)               |              lookup_fast() {
 3)   0.062 us    |    rcu_all_qs();
 1)   0.192 us    |                __d_lookup_rcu();
 3)   0.063 us    |    _raw_spin_lock_irqsave();
 1)   7.904 us    |              }
 1) + 15.620 us   |            }
 3)   0.203 us    |    rcu_implicit_dynticks_qs();
 1)               |            complete_walk() {
 1)               |              unlazy_walk() {
 3)   0.079 us    |    _raw_spin_unlock_irqrestore();
 1)               |                legitimize_mnt() {
 1)   0.076 us    |                  __legitimize_mnt();
 3) + 38.994 us   |  }
 3)   0.054 us    |  _cond_resched();
 1)   7.836 us    |                }
 1) + 15.584 us   |              }
 3)   0.065 us    |  rcu_all_qs();
 1) + 23.309 us   |            }
 1)               |            terminate_walk() {
 3)               |  prepare_to_swait_event() {
 1)   0.064 us    |              dput();
 3)               |    prepare_to_swait() {
 3)   0.064 us    |      _raw_spin_lock_irqsave();
 1)   0.063 us    |              mntput();
 3)   0.079 us    |      _raw_spin_unlock_irqrestore();
 1) + 15.554 us   |            }
 1) ! 201.226 us  |          }
 3) + 15.505 us   |    }
 1)   0.062 us    |          restore_nameidata();
 3) + 23.287 us   |  }
 3)               |  schedule_timeout() {
 1)               |          putname() {
 3)   0.061 us    |    init_timer_key();
 1)   0.086 us    |            kmem_cache_free();
 3)               |    lock_timer_base.isra.23() {
 1)   7.811 us    |          }
 3)   0.062 us    |      _raw_spin_lock_irqsave();
 1) ! 232.013 us  |        }
 1) ! 278.507 us  |      }
 3)   7.800 us    |    }
 1)               |      vfs_getattr() {
 3)   0.062 us    |    detach_if_pending();
 1)               |        security_inode_getattr() {
 1)               |          apparmor_inode_getattr() {
 3)   0.064 us    |    get_nohz_timer_target();
 1)   0.094 us    |            common_perm();
 3)               |    internal_add_timer() {
 1)   7.889 us    |          }
 3)   0.059 us    |      __internal_add_timer();
 1) + 15.631 us   |        }
 1)               |        vfs_getattr_nosec() {
 3)   0.064 us    |      wake_up_nohz_cpu();
 1)               |          ext4_getattr() {
 1)   0.119 us    |            generic_fillattr();
 3) + 15.472 us   |    }
 3)   0.088 us    |    _raw_spin_unlock_irqrestore();
 1)   7.895 us    |          }
 1) + 15.569 us   |        }
 3)               |    schedule() {
 1) + 46.557 us   |      }
 3)   0.068 us    |      rcu_note_context_switch();
 1)               |      path_put() {
 1)   0.107 us    |        dput();
 3)   0.059 us    |      _raw_spin_lock();
 1)               |        mntput() {
 3)               |      deactivate_task() {
 1)   0.057 us    |          mntput_no_expire();
 3)   0.108 us    |        update_rq_clock.part.82();
 1)   7.688 us    |        }
 3)               |        dequeue_task_fair() {
 1) + 23.231 us   |      }
 3)               |          dequeue_entity() {
 1) ! 371.180 us  |    }
 3)               |            update_curr() {
 1)               |    cp_new_stat() {
 3)   0.066 us    |              update_min_vruntime();
 1)   0.066 us    |      from_kuid_munged();
 3)   0.166 us    |              cpuacct_charge();
 1)   0.066 us    |      from_kgid_munged();
 3) + 15.964 us   |            }
 1) + 15.662 us   |    }
 3)   0.056 us    |            clear_buddies();
