layer,tracer,workload,configuration,time
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6658068692
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6690538550
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6671126822
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6667501204
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6682250857
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6648686458
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6639259589
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6674761763
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6676426948
L1,Hypertracing_compress_2,syscall_benchmark,getcpu_1_10000000,6671892565

L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6670761190
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6441111047
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6401635929
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6420307174
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6425333524
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6448684956
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6417613230
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6400609084
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6420096951
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6429129291
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6428077816
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6423438471
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6435476546
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6421968644
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6422995979
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6427107433
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6425018057
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6425584023
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6419755365
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6433473324
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6440809997
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6443002695
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6448874020
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6433909554
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6446933526
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6455394722
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6424293308
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6425173044
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6416278821
L1,Hypertracing_compress_2_no_host,syscall_benchmark,getcpu_1_10000000,6443427565

L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5426418426
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5354087514
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5355256527
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5329456658
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5372027131
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5360356333
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5356252301
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5366805830
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5368340728
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5389420033
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5353986291
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5366014765
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5371280330
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5337065896
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5375075464
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5344621303
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5350097383
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5363138554
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5340731024
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5337984977
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5331717521
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5345702155
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5367549825
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5349469465
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5341602751
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5341398358
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5328898554
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5343125272
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5407528674
L1,Hypertracing_compress,syscall_benchmark,getcpu_1_10000000,5341844555

L1,Perf,syscall_benchmark,getcpu_1_10000000,7431718225
L1,Perf,syscall_benchmark,getcpu_1_10000000,7456009465
L1,Perf,syscall_benchmark,getcpu_1_10000000,7516520374
L1,Perf,syscall_benchmark,getcpu_1_10000000,7472198356
L1,Perf,syscall_benchmark,getcpu_1_10000000,7495515373
L1,Perf,syscall_benchmark,getcpu_1_10000000,7493327815
L1,Perf,syscall_benchmark,getcpu_1_10000000,7600359833
L1,Perf,syscall_benchmark,getcpu_1_10000000,7399728886
L1,Perf,syscall_benchmark,getcpu_1_10000000,7466794283
L1,Perf,syscall_benchmark,getcpu_1_10000000,7410435409
L1,Perf,syscall_benchmark,getcpu_1_10000000,7561779016
L1,Perf,syscall_benchmark,getcpu_1_10000000,7493258271
L1,Perf,syscall_benchmark,getcpu_1_10000000,7412275278
L1,Perf,syscall_benchmark,getcpu_1_10000000,7433920823
L1,Perf,syscall_benchmark,getcpu_1_10000000,7506995058
L1,Perf,syscall_benchmark,getcpu_1_10000000,7466550330
