layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,PAUSE_INSTRUCTION,32,34874,1089.81
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,PENDING_INTERRUPT,16,30498,1906.12
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,MSR_READ,1,1493,1493.0
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,EXCEPTION_NMI,1,911,911.0
L1,Lttng_After,cpu_benchmark,1_10000,7239999559,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,HLT,310,218227709,703960.35
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,MSR_WRITE,2478,5763417,2325.83
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,PREEMPTION_TIMER,1765,4769235,2702.12
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,IO_INSTRUCTION,292,2712030,9287.77
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,EXTERNAL_INTERRUPT,1784,1756330,984.49
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,EPT_MISCONFIG,29,145369,5012.72
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,CPUID,35,46143,1318.37
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,PAUSE_INSTRUCTION,37,39993,1080.89
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,PENDING_INTERRUPT,14,30704,2193.14
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,MSR_READ,1,1476,1476.0
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,EXCEPTION_NMI,1,936,936.0
L1,Lttng_After,cpu_benchmark,1_10000,7243253076,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,HLT,242,218648058,903504.37
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,MSR_WRITE,2360,5465800,2316.02
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,PREEMPTION_TIMER,1757,4662288,2653.55
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,IO_INSTRUCTION,292,2868689,9824.28
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,EXTERNAL_INTERRUPT,1807,2013215,1114.12
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,EPT_MISCONFIG,31,132898,4287.03
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,PENDING_INTERRUPT,29,76842,2649.72
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,CPUID,35,47431,1355.17
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,PAUSE_INSTRUCTION,30,34896,1163.2
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,MSR_READ,1,1506,1506.0
