"function_name","freq","percentage"
"acpi_ns_evaluate",2088,0.0025
"acpi_ns_exec_module_code_list",1,0
"acpi_ns_find_ini_methods",318,4e-04
"acpi_ns_get_attached_data",493,6e-04
"acpi_ns_get_attached_object",18550,0.022
"acpi_ns_get_device_callback",216,3e-04
"acpi_ns_get_internal_name_length",4171,0.0049
"acpi_ns_get_next_node",161,2e-04
"acpi_ns_get_node",4177,0.0049
"acpi_ns_get_node_unlocked",4177,0.0049
"acpi_ns_get_node_unlocked.part.1",6,0
"acpi_ns_get_normalized_pathname",1098,0.0013
"acpi_ns_get_pathname_length",1792,0.0021
"acpi_ns_get_secondary_object",96,1e-04
"acpi_ns_get_type",9644,0.0114
"acpi_ns_handle_to_name",58,1e-04
"acpi_ns_handle_to_pathname",1890,0.0022
"acpi_ns_initialize_devices",1,0
"acpi_ns_initialize_objects",1,0
"acpi_ns_init_one_device",17,0
"acpi_ns_init_one_object",318,4e-04
"acpi_ns_install_node",20,0
"acpi_ns_internalize_name",4171,0.0049
"acpi_ns_local",3781,0.0045
"acpi_ns_lookup",8040,0.0095
"acpi_ns_opens_scope",8032,0.0095
"acpi_ns_remove_null_elements",15,0
"acpi_ns_repair_HID",77,1e-04
"acpi_ns_repair_PRT",14,0
"acpi_ns_search_and_enter",8054,0.0095
"acpi_ns_search_one_scope",15577,0.0184
"acpi_ns_simple_repair",7973,0.0094
"acpi_ns_validate_handle",7965,0.0094
"acpi_ns_walk_namespace",24,0
"acpi_of_match_device",337,4e-04
"acpi_os_acquire_lock",4672020,5.5316
"acpi_os_create_semaphore",5,0
"acpi_os_install_interrupt_handler",1,0
"acpi_os_map_iomem",4,0
"acpi_os_map_memory",4,0
"acpi_os_printf",2,0
"acpi_os_purge_cache",4,0
"acpi_os_read_pci_configuration",46,1e-04
"acpi_os_read_port",19,0
"acpi_os_release_lock",4672020,5.5316
"acpi_os_release_object",1852960,2.1939
"acpi_os_signal_semaphore",14761,0.0175
"acpi_os_vprintf",3,0
"acpi_os_wait_semaphore",14761,0.0175
"acpi_os_write_pci_configuration",8,0
"acpi_os_write_port",26,0
"acpi_pci_add_bus",1,0
"acpi_pci_check_ejectable",32,0
"acpi_pci_find_companion",13,0
"acpi_pci_irq_disable",5,0
"acpi_pci_irq_enable",12,0
"acpi_pci_irq_find_prt_entry",14,0
"acpi_pci_irq_lookup",14,0
"acpi_pci_link_add",5,0
"acpi_pci_link_allocate_irq",10,0
"acpi_pci_link_check_current",9,0
"acpi_pci_link_check_possible",5,0
"acpi_pci_link_free_irq",4,0
"acpi_pci_link_get_current.isra.4",9,0
"acpi_pci_link_set",4,0
"acpi_pci_power_manageable",8,0
"acpi_pci_probe_root_resources",1,0
"acpi_pci_root_add",1,0
"acpi_pci_root_create",1,0
"acpi_pci_root_get_mcfg_addr",1,0
"acpi_pci_root_validate_resources",2,0
"acpi_pci_run_osc",1,0
"acpi_pci_slot_enumerate",1,0
"acpi_penalize_isa_irq",5,0
"acpiphp_add_context",38,0
"acpiphp_enumerate_slots",1,0
"acpiphp_get_adapter_status",28,0
"acpiphp_get_latch_status",28,0
"acpiphp_get_power_status",28,0
"acpiphp_register_hotplug_slot",28,0
"acpi_physnode_link_name",20,0
"acpi_platform_notify",404,5e-04
"acpi_platform_notify_remove",6,0
"acpi_pm_check_blacklist",1,0
"acpi_pm_read",20,0
"acpi_pm_read_verified",4,0
"acpi_pnp_attach",4,0
"acpi_pnp_match",19,0
"acpi_power_add_remove_device",60,1e-04
"acpi_processor_add",1,0
"acpi_processor_get_lpi_info",1,0
"acpi_processor_get_performance_info",1,0
"acpi_processor_get_power_info",1,0
"acpi_processor_get_throttling_info",1,0
"acpi_processor_power_init",1,0
"acpi_processor_ppc_has_changed",1,0
"acpi_processor_ppc_init",1,0
"acpi_processor_preregister_performance",1,0
"acpi_processor_register_performance",1,0
"acpi_processor_set_pdc",1,0
"__acpi_processor_start",1,0
"acpi_processor_start",1,0
"acpi_processor_throttling_init",1,0
"acpi_ps_alloc_op",150829,0.1786
"acpi_ps_append_arg",132662,0.1571
"acpi_ps_build_named_op",26,0
"acpi_ps_cleanup_scope",203,2e-04
"acpi_ps_complete_final_op",203,2e-04
"acpi_ps_complete_op",108645,0.1286
"acpi_ps_complete_this_op",114527,0.1356
"acpi_ps_create_op",114527,0.1356
"acpi_ps_create_scope_op",100,1e-04
"acpi_ps_delete_parse_tree",50433,0.0597
"acpi_ps_execute_method",100,1e-04
"acpi_ps_free_op",150829,0.1786
"acpi_ps_get_arg",150815,0.1786
"acpi_ps_get_argument_count",54050,0.064
"acpi_ps_get_next_arg",120254,0.1424
"acpi_ps_get_next_namepath",18115,0.0214
"acpi_ps_get_next_namestring",18153,0.0215
"acpi_ps_get_next_package_end",11799,0.014
"acpi_ps_get_next_package_length.isra.0",11799,0.014
"acpi_ps_get_next_simple_arg",16836,0.0199
"acpi_ps_get_opcode_info",1197274,1.4175
"acpi_ps_get_opcode_size",112604,0.1333
"acpi_ps_get_parent_scope",114510,0.1356
"acpi_ps_has_completed_scope",108513,0.1285
"acpi_ps_init_op",34992,0.0414
"acpi_ps_init_scope",203,2e-04
"acpi_ps_is_leading_char",12658,0.015
"acpi_ps_next_parse_state",229008,0.2711
"acpi_ps_parse_aml",162,2e-04
"acpi_ps_parse_loop",244,3e-04
"acpi_ps_peek_opcode",143361,0.1697
"acpi_ps_pop_scope",90816,0.1075
"acpi_ps_push_scope",90411,0.107
"acpi_ps_update_parameter_list",200,2e-04
"acpi_purge_cached_objects",1,0
"acpi_read_bit_register",4,0
"acpi_reconfig_notifier_register",2,0
"acpi_register_gsi",15,0
"acpi_register_gsi_ioapic",16,0
"__acpi_release_global_lock",8,0
"acpi_resource_to_address64",30,0
"acpi_rs_convert_aml_to_resource",82,1e-04
"acpi_rs_convert_aml_to_resources",64,1e-04
"acpi_rs_convert_resources_to_aml",4,0
"acpi_rs_convert_resource_to_aml",8,0
"acpi_rs_create_aml_resources",4,0
"acpi_rs_create_pci_routing_table",14,0
"acpi_rs_create_resource_list",23,0
"acpi_rs_decode_bitmask",6,0
"acpi_rs_get_address_common",10,0
"acpi_rs_get_aml_length",4,0
"acpi_rs_get_list_length",23,0
"acpi_rs_get_method_data",23,0
"acpi_rs_get_pci_routing_table_length",14,0
"acpi_rs_get_prt_method_data",14,0
"acpi_rs_get_resource_source",24,0
"acpi_rs_move_data",60,1e-04
"acpi_rs_set_resource_header",8,0
"acpi_rs_set_resource_length",12,0
"acpi_rs_set_resource_source",4,0
"acpi_rs_set_srs_method_data",4,0
"acpi_rs_validate_parameters.part.0",18,0
"acpi_run_osc",2,0
"acpi_scan_add_handler",8,0
"acpi_scan_add_handler_with_hotplug",3,0
"acpi_scan_match_handler",45,1e-04
"acpi_set_current_resources",4,0
"acpi_sleep_state_supported",5,0
"acpi_str_to_uuid",2,0
"acpi_suspend_state_valid",2,0
"acpi_sysfs_add_hotplug_profile",3,0
"acpi_table_attr_init",4,0
"acpi_tb_acquire_table",3,0
"acpi_tb_check_dsdt_header",100,1e-04
"acpi_tb_get_table",6,0
"acpi_tb_initialize_facs",1,0
"acpi_tb_validate_table",3,0
"acpi_thermal_cpufreq_init",1,0
"acpi_unlock_hp_context",34,0
"acpi_unregister_gsi",4,0
"acpi_unregister_gsi_ioapic",4,0
"acpi_update_all_gpes",1,0
"acpi_ut_acquire_mutex",14715,0.0174
"acpi_ut_acquire_read_lock",7,0
"acpi_ut_add_address_range",9,0
"acpi_ut_add_reference",95468,0.113
"acpi_ut_allocate_object_desc_dbg",136848,0.162
"acpi_ut_allocate_owner_id",141,2e-04
"acpi_ut_ascii_char_to_hex",6,0
"acpi_ut_ascii_to_hex_byte",3,0
"acpi_ut_check_address_range",1,0
"acpi_ut_copy_eobject_to_iobject",86,1e-04
"acpi_ut_copy_ielement_to_ielement",16128,0.0191
"acpi_ut_copy_iobject_to_eobject",606,7e-04
"acpi_ut_copy_iobject_to_iobject",10808,0.0128
"acpi_ut_copy_isimple_to_esimple",606,7e-04
"acpi_ut_copy_simple_object",21546,0.0255
"acpi_ut_create_control_state",7686,0.0091
"acpi_ut_create_generic_state",1565363,1.8534
"acpi_ut_create_integer_object",156,2e-04
"acpi_ut_create_internal_object_dbg",136836,0.162
"acpi_ut_create_package_object",19,0
"acpi_ut_create_pkg_state",3598,0.0043
"acpi_ut_create_string_object",16,0
"acpi_ut_create_thread_state",162,2e-04
"acpi_ut_create_update_state",1426432,1.6889
"acpi_ut_create_update_state_and_push",1426432,1.6889
"acpi_ut_delete_generic_state",1565373,1.8534
"acpi_ut_delete_internal_object_list",23,0
"acpi_ut_delete_object_desc",136748,0.1619
"acpi_ut_dword_byte_swap",61,1e-04
"acpi_ut_evaluate_numeric_object",62,1e-04
"acpi_ut_evaluate_object",1130,0.0013
"acpi_ut_execute_CID",111,1e-04
"acpi_ut_execute_CLS",54,1e-04
"acpi_ut_execute_HID",218,3e-04
"acpi_ut_execute_power_methods",108,1e-04
"acpi_ut_execute_STA",108,1e-04
"acpi_ut_execute_UID",54,1e-04
"acpi_ut_get_descriptor_length",109,1e-04
"acpi_ut_get_interface",4,0
"acpi_ut_get_next_predefined_method",49618,0.0587
"acpi_ut_get_node_name",58,1e-04
"acpi_ut_get_object_size",606,7e-04
"acpi_ut_get_resource_header_length",76,1e-04
"acpi_ut_get_resource_length",391,5e-04
"acpi_ut_get_resource_type",233,3e-04
"acpi_ut_get_simple_object_size.part.0",606,7e-04
"acpi_ut_hex_to_ascii_char",244,3e-04
"acpi_ut_initialize_buffer",2595,0.0031
"acpi_ut_is_pci_root_bridge",20,0
"acpi_ut_match_predefined_method",816,0.001
"acpi_ut_pop_generic_state",1564945,1.8529
"acpi_ut_push_generic_state",1561400,1.8487
"acpi_ut_release_mutex",14715,0.0174
"acpi_ut_release_owner_id",141,2e-04
"acpi_ut_release_read_lock",7,0
"acpi_ut_remove_reference",205405,0.2432
"acpi_ut_repair_name",8112,0.0096
"acpi_ut_short_divide",16,0
"acpi_ut_update_object_reference",290020,0.3434
"acpi_ut_update_ref_count",4671996,5.5316
"acpi_ut_validate_buffer",174,2e-04
"acpi_ut_validate_exception",1,0
"acpi_ut_validate_resource",136,2e-04
"acpi_ut_valid_internal_object",290012,0.3434
"acpi_ut_valid_name_char",32920,0.039
"acpi_ut_valid_object_type",98606,0.1167
"acpi_ut_walk_aml_resources",23,0
"acpi_ut_walk_package_tree",3598,0.0043
"acpi_walk_dep_device_list",1,0
"acpi_walk_namespace",7,0
"acpi_walk_resource_buffer",23,0
"acpi_walk_resources",23,0
"acpi_write_bit_register",13,0
"__activate_page",5906,0.007
"activate_page",5906,0.007
"activate_task",5583,0.0066
"add_device_randomness",556,7e-04
"add_dirent_to_buf",12,0
"add_disk_randomness",16,0
"add_mm_counter_fast.part.59",421,5e-04
"add_nops",1275,0.0015
"add_partition",3,0
"__add_pin_to_irq_node",16,0
"addr_assign_type_show",4,0
"addrconf_add_dev",1,0
"addrconf_add_linklocal",1,0
"addrconf_add_mroute",1,0
"addrconf_dad_completed",1,0
"addrconf_dad_start",1,0
"addrconf_dad_work",3,0
"addrconf_del_dad_work",1,0
"addrconf_dev_config",1,0
"addrconf_init_net",1,0
"addrconf_join_solict.part.53",1,0
"addrconf_mod_dad_work",1,0
"addrconf_notify",9,0
"addrconf_prefix_route",1,0
"__addrconf_sysctl_register",5,0
"addrconf_sysctl_register",3,0
"__addrconf_sysctl_unregister.isra.44",1,0
"addrconf_verify_rtnl",1,0
"addrconf_verify_work",1,0
"address_read_file",27,0
"address_show",4,0
"address_space_init_once",18296,0.0217
"addr_event.isra.13.part.14	[ib_core]",2,0
"addr_init	[ib_core]",1,0
"add_softcursor",1670,0.002
"add_sysfs_fw_map_entry",8,0
"add_sysfs_param.isra.9",235,3e-04
"add_system_zone",563,7e-04
"add_taint",3,0
"add_timer",763,9e-04
"add_timer_on",76,1e-04
"__add_to_page_cache_locked",55373,0.0656
"add_to_page_cache_lru",55373,0.0656
"add_transaction_credits",222,3e-04
"add_wait_queue",3614,0.0043
"adjust_managed_page_count",7117,0.0084
"aer_acpi_firmware_first",1,0
"agp_alloc_bridge",1,0
"agp_intel_probe",1,0
"agp_put_bridge",1,0
"aio_mount",1,0
"akcipher_register_instance",1,0
"alarmtimer_rtc_add_device",1,0
"align_vdso_addr",415,5e-04
"alloc_anon_inode",2,0
"allocate_cgrp_cset_links",245,3e-04
"alloc_buffer_head",3234,0.0038
"alloc_chrdev_region",5,0
"alloc_disk",36,0
"alloc_disk_node",36,0
"alloc_etherdev_mqs",1,0
"alloc_fair_sched_group",123,1e-04
"__alloc_fd",27425,0.0325
"alloc_fdmem",10,0
"alloc_fdtable",5,0
"alloc_file",1383,0.0016
"alloc_inode",19972,0.0236
"alloc_isa_irq_from_domain.isra.12",16,0
"alloc_mnt_ns",2,0
"alloc_netdev_mqs",2,0
"alloc_page_buffers",3185,0.0038
"alloc_pages_exact",8,0
"__alloc_pages_nodemask",147015,0.1741
"__alloc_percpu",1348,0.0016
"__alloc_percpu_gfp",2067,0.0024
"alloc_pid",683,8e-04
"alloc_pipe_info",249,3e-04
"alloc_request_simple",160,2e-04
"alloc_request_size",4280,0.0051
"alloc_resource",38,0
"alloc_rt_sched_group",123,1e-04
"alloc_sched_domains",1,0
"alloc_set_pte",360563,0.4269
"__alloc_skb",5257,0.0062
"alloc_skb_with_frags",1781,0.0021
"alloc_swap_slot_cache",1,0
"alloc_tty_struct",143,2e-04
"alloc_uid",5,0
"alloc_unbound_pwq",18,0
"alloc_vfsmnt",112,1e-04
"alloc_vmap_area.isra.27",619,7e-04
"alloc_vm_area",1,0
"alloc_worker.isra.24",70,1e-04
"alloc_workqueue_attrs",54,1e-04
"__alloc_workqueue_key",81,1e-04
"all_vm_events",1,0
"alternatives_smp_module_add",25,0
"always_delete_dentry",7585,0.009
"amd_cache_northbridges.part.3",1,0
"amiga_partition",16,0
"anon_inodefs_mount",1,0
"anon_inode_getfd",192,2e-04
"anon_inode_getfile",370,4e-04
"anon_pipe_buf_release",254,3e-04
"anon_vma_clone",18114,0.0214
"anon_vma_ctor",3927,0.0046
"anon_vma_fork",19890,0.0235
"__anon_vma_interval_tree_augment_rotate",8190,0.0097
"anon_vma_interval_tree_insert",42027,0.0498
"anon_vma_interval_tree_remove",39963,0.0473
"__anon_vma_prepare",5249,0.0062
"any_ports_active",3,0
"apei_hest_parse",1,0
"apic_retrigger_irq",1,0
"apic_set_affinity",25,0
"apparmor_bprm_committed_creds",417,5e-04
"apparmor_bprm_committing_creds",417,5e-04
"apparmor_bprm_secureexec",415,5e-04
"apparmor_bprm_set_creds",479,6e-04
"apparmor_capable",88025,0.1042
"apparmor_capget",10,0
"apparmor_cred_prepare",10769,0.0128
"apparmor_file_alloc_security",27919,0.0331
"apparmor_file_free_security",27318,0.0323
"apparmor_file_lock",529,6e-04
"apparmor_file_mprotect",3613,0.0043
"apparmor_file_open",19386,0.023
"apparmor_file_permission",37762,0.0447
